commit	val_bpb	memory_gb	status	description
a75721d	1.052423	5.3	keep	baseline chinese 10m tinystorieszh
89e0896	1.042704	5.3	keep	slower lr decay for 10m budget
8e6ed71	1.064424	5.3	keep	resume seed rerun with current best config
e29a088	0.824672	5.3	keep	reduce decay for resumed run
ee47a3f	0.714781	5.3	keep	lower embedding lr for resumed run
88106c0	0.681144	5.3	keep	lower unembedding lr for resumed run
c2c4fcd	0.670416	5.3	keep	lower matrix lr for resumed run
802767a	0.669213	5.3	keep	lower scalar lr for resumed run
5c3f7d2	0.708976	5.3	discard	increase adam betas for resumed run
881e7d7	0.744245	5.3	discard	resume another 10m with same params
